tick,timestamp,gas_read_ms,temp_read_ms,fusion_ms,actuation_ms,mqtt_publish_ms,total_loop_ms,budget_ok
799,14:52:50,0.016,0.001,0.017,0.008,0.002,0.044,True
800,14:52:50,0.015,0.001,0.015,0.009,0.002,0.083,True
801,14:52:50,0.043,0.004,0.053,0.014,0.004,0.12,True
802,14:52:51,0.062,0.005,0.075,0.028,0.005,0.177,True
803,14:52:51,0.022,0.002,0.023,0.011,0.002,0.061,True
804,14:52:51,0.017,0.001,0.029,0.008,0.002,0.058,True
805,14:52:51,0.017,0.001,0.021,0.009,0.002,0.051,True
806,14:52:51,0.016,0.001,0.017,0.007,0.002,0.044,True
807,14:52:51,0.015,0.001,0.018,0.008,0.002,0.045,True
808,14:52:51,0.016,0.001,0.018,0.009,0.002,0.046,True
809,14:52:51,0.015,0.001,0.016,0.009,0.002,0.043,True
810,14:52:51,0.015,0.001,0.015,0.009,0.001,0.084,True
811,14:52:51,0.033,0.003,0.042,0.013,0.003,0.096,True
812,14:52:52,0.052,0.005,0.059,0.025,0.005,0.148,True
813,14:52:52,0.018,0.002,0.02,0.011,0.002,0.054,True
814,14:52:52,0.015,0.001,0.025,0.008,0.002,0.053,True
815,14:52:52,0.017,0.001,0.021,0.009,0.002,0.052,True
816,14:52:52,0.016,0.001,0.018,0.009,0.002,0.047,True
817,14:52:52,0.016,0.001,5.082,0.01,0.002,5.112,True
818,14:52:52,0.015,0.001,5.08,0.01,0.002,5.109,True
819,14:52:52,0.017,0.001,0.022,0.009,0.001,0.051,True
820,14:52:52,0.017,0.001,0.021,0.009,0.002,0.085,True
821,14:52:52,0.037,0.003,0.045,0.012,0.003,0.103,True
822,14:52:53,0.03,0.003,0.035,0.01,0.003,0.082,True
823,14:52:53,0.032,0.003,0.036,0.011,0.003,0.086,True
824,14:52:53,0.02,0.001,0.022,0.011,0.002,0.058,True
825,14:52:53,0.017,0.001,0.018,0.01,0.002,0.05,True
826,14:52:53,0.016,0.001,0.017,0.008,0.002,0.044,True
827,14:52:53,0.014,0.001,0.016,0.008,0.002,0.042,True
828,14:52:53,0.016,0.001,0.02,0.009,0.002,0.049,True
829,14:52:53,0.017,0.001,0.028,0.008,0.002,0.058,True
830,14:52:53,0.017,0.001,0.023,0.008,0.002,0.086,True
831,14:52:53,0.035,0.003,0.042,0.012,0.003,0.096,True
